YTE;Forward
0.00074;2469.290144
0.006219;2469.466484
0.014438;2469.396675
0.019918;2468.698567
0.025397;2469.913233
0.033616;2469.630138
0.039096;2469.302269
0.044575;2470.538774
0.055534;2469.538147
0.058274;2469.471232
0.063753;2471.383059
0.071973;2470.182877
0.077452;2470.305051
0.080192;2471.362745
0.082932;2470.751123
0.10211;2470.00703
0.121288;2470.979071
0.156904;2469.655953
0.19789;2470.043135
0.236247;2470.262774
0.291041;2470.677014
0.323918;2473.349394
0.408849;2472.822904
0.466384;2474.500967
0.485562;2472.071018
0.715699;2477.192778
0.743096;2479.62347
0.965123;2471.057572
1.041836;2484.206183
1.214329;2472.100383
1.463644;2482.099645
1.962384;2492.666952
2.959644;2491.989935
